,Exam 1,Exam 2,Exam 3,Exam 4,Final Score,grade
1,19,17,18,16,70,C
2,19,17,17,11,64,D
3,19,15,19,17,70,C
4,18,18,20,19,75,A
5,17,17,17,14,65,D
6,20,17,20,19,76,A
7,19,18,19,13,69,C
8,19,18,18,18,73,B
9,20,19,19,18,76,A
10,20,17,20,19,76,A
11,20,18,17,18,73,B
12,20,18,20,17,75,A
13,15,16,17,16,64,D
14,18,19,20,15,72,B
15,20,19,11,11,61,D
16,19,18,18,17,72,B
17,20,18,19,19,76,A
18,20,18,20,19,77,A
19,19,17,20,17,73,B
20,19,17,20,17,73,B
21,18,17,15,14,64,D
22,18,17,20,18,73,B
23,19,17,20,17,73,B
24,20,17,20,16,73,B
25,20,17,16,18,71,B
26,17,15,15,15,62,D
27,19,17,16,17,69,C
28,20,15,18,15,68,C
29,18,19,17,18,72,B
30,19,16,20,18,73,B
31,20,16,19,20,75,A
32,20,16,19,20,75,A
33,20,17,20,19,76,A
34,19,16,18,16,69,C
35,19,20,20,17,76,A
36,20,20,20,20,80,A
37,20,18,19,16,73,B
38,20,17,17,18,72,B
39,20,17,20,17,74,B
40,18,18,16,19,71,B
41,20,16,20,17,73,B
42,20,17,20,18,75,A
43,19,17,20,17,73,B
44,16,16,13,13,58,E
45,18,12,17,18,65,D
46,20,17,20,17,74,B
47,19,18,19,15,71,B
48,17,18,19,17,71,B
49,20,18,19,19,76,A
50,20,18,20,18,76,A
51,19,17,20,18,74,B
52,17,17,14,15,63,D
53,18,19,20,17,74,B
54,20,19,19,16,74,B
55,20,17,19,15,71,B
56,19,17,20,18,74,B
57,19,16,19,17,71,B
58,19,17,15,17,68,C
59,18,17,18,17,70,C
60,19,16,13,12,60,E